
ja	yes (from german) [interj]
judicious	showing judgment [adj judiciously]
judiciously	"judicious, showing judgment [adv]"
judiciousness	the state of being judicious [n -es]
judiciousnesses	"judiciousness, the state of being judicious [n]"
judies	"judy, (slang) a girl, a girlfriend [n]"
judo	a japanese form of unarmed combat [n -s]
judogi	a judo costume [n -s]
judogis	"judogi, a judo costume [n]"
judoist	"one skilled in judo, also judoka [n -s]"
judoists	"judoist, one skilled in judo, also judoka [n]"
judoka	"one skilled in judo, also judoist [n -s]"
judokas	"judoka, one skilled in judo, also judoist [n]"
judos	"judo, a japanese form of unarmed combat [n]"
juds	"jud, a mass of coal ready for removal [n]"
judy	"(slang) a girl, a girlfriend [n judies]"
jug	"to stew in a closed container [v jugged, jugging, jugs]"
juga	"jugum, a pair of opposite leaves [n]"
jugal	the cheek bone [n -s]
jugals	"jugal, the cheek bone [n]"
jugate	having leaflets arranged in pairs [adj]
jugful	as much as a jug will hold [n jugfuls or jugsful]
jugfuls	"jugful, as much as a jug will hold [n]"
jugged	"jug, to stew in a closed container [v]"
juggernaut	"(sanskrit) a massive relentless force, person, institution, etc. that crushes everything in its path [n -s]"
juggernauts	"juggernaut, (sanskrit) a massive relentless force, person, institution, etc. that crushes everything in its path [n]"
jugging	the act of jugging [n -s]
juggings	"jugging, the act of jugging [n]"
juggins	a simpleton [n -es]
jugginses	"juggins, a simpleton [n]"
juggle	"to manipulate objects with dexterity [v juggled, juggling, juggles]"
juggled	"juggle, to manipulate objects with dexterity [v]"
juggler	one who juggles [n -s]
juggleries	"jugglery, the art of juggler [n]"
jugglers	"juggler, one who juggles [n]"
jugglery	the art of juggler [n juggleries]
juggles	"juggle, to manipulate objects with dexterity [v]"
juggling	the act of juggling [n -s]
jugglingly	juggling [adv]
jugglings	"juggling, the act of juggling [n]"
jughead	"an idiot, a fool [n -s]"
jugheads	"jughead, an idiot, a fool [n]"
juglandaceous	belonging to the walnut family [adj]
juglet	a small jug [n -s]
juglets	"juglet, a small jug [n]"
jugs	"jug, to stew in a closed container [v]"
jugsful	"jugful, as much as a jug will hold [n]"
jugula	"jugulum, the front part of the neck [n]"
jugular	pertaining to neck or throat [adj] / a vein in the neck [n -s]
jugulars	"jugular, a vein in the neck [n]"
jugulate	"to cut the throat of [v jugulated, jugulating, jugulates]"
jugulated	"jugulate, to cut the throat of [v]"
jugulates	"jugulate, to cut the throat of [v]"
jugulating	"jugulate, to cut the throat of [v]"
jugulation	the act of jugulating [n -s]
jugulations	"jugulation, the act of jugulating [n]"
jugulum	the front part of the neck [n jugula]
jugum	a pair of opposite leaves [n jugums or juga]
jugums	"jugum, a pair of opposite leaves [n]"
juice	"to extract liquid from fruit or vegetables [v juiced, juicing, juices]"
juiced	"juice, to extract liquid from fruit or vegetables [v]"
juicehead	(slang) an alcoholic [n -s]
juiceheads	"juicehead, (slang) an alcoholic [n]"
juiceless	without juice [adj]
juicer	a juice extractor [n -s]
juicers	"juicer, a juice extractor [n]"
juices	"juice, to extract liquid from fruit or vegetables [v]"
juicier	"juicy, full of juice [adj]"
juiciest	"juicy, full of juice [adj]"
juicily	"juicy, full of juice [adv]"
juiciness	the state of being juicy [n -es]
juicinesses	"juiciness, the state of being juicy [n]"
juicing	"juice, to extract liquid from fruit or vegetables [v]"
juicy	"full of juice [adj juicier, juiciest, juicily]"
jujitsu	"a japanese art of self defence, also jiujitsu, jiujutsu, jujutsu [n -s]"
jujitsus	"jujitsu, a japanese art of self defence, also jiujitsu, jiujutsu, jujutsu [n]"
juju	a fetish or charm [n -s]
jujube	a fruit-flavored candy [n -s]
jujubes	"jujube, a fruit-flavored candy [n]"
jujuism	a belief in jujus [n -s]
jujuisms	"jujuism, a belief in jujus [n]"
jujuist	a follower of jujuism [n -s]
jujuists	"jujuist, a follower of jujuism [n]"
jujus	"juju, a fetish or charm [n]"
jujutsu	"a japanese art of self defence, also jiujitsu, jiujutsu, jujitsu [n -s]"
jujutsus	"jujutsu, a japanese art of self defence, also jiujitsu, jiujutsu, jujitsu [n]"
juke	"to dance [v juked, juking, jukes]"
jukebox	a coin-operated gramophone machine [n -es]
jukeboxes	"jukebox, a coin-operated gramophone machine [n]"
juked	"juke, to dance [v]"
jukes	"juke, to dance [v]"
juking	"juke, to dance [v]"
jukskei	a south african game like quoits [n -s]
jukskeis	"jukskei, a south african game like quoits [n]"
juku	a japanese school that prepares students for entrance exams e.g. to university [n -s]
jukus	"juku, a japanese school that prepares students for entrance exams e.g. to university [n]"
julep	"a cocktail of bourbon, sugar, and mint [n -s]"
juleps	"julep, a cocktail of bourbon, sugar, and mint [n]"
julienne	"a kind of soup containing thin slices or shreds of carrots, onions, etc. [n -s] / to shred or cut into thin strips [v julienned, julienning, juliennes]"
julienned	"julienne, to shred or cut into thin strips [v]"
juliennes	"julienne, to shred or cut into thin strips [v]"
julienning	"julienne, to shred or cut into thin strips [v]"
juliet	(in international radio communication) a code word for the letter j [n -s]
juliets	"juliet, (in international radio communication) a code word for the letter j [n]"
jumar	"to climb using ropes and clips [v jumarred or jumared, jumarring or jumaring, jumars]"
jumared	"jumar, to climb using ropes and clips [v]"
jumaring	"jumar, to climb using ropes and clips [v]"
jumarred	"jumar, to climb using ropes and clips [v]"
jumarring	"jumar, to climb using ropes and clips [v]"
jumars	"jumar, to climb using ropes and clips [v]"
jumart	the supposed offspring of a bull and a mare [n -s]
jumarts	"jumart, the supposed offspring of a bull and a mare [n]"
jumbal	a thin crisp sweet cake [n -s]
jumbals	"jumbal, a thin crisp sweet cake [n]"
jumbie	"(west indian) a ghost or evil spirit, also jumby [n -s]"
jumbies	"jumby, (west indian) a ghost or evil spirit, also jumbie [n]"
jumble	"to mix in a disordered manner [v jumbled, jumbling, jumbles]"
jumbled	"jumble, to mix in a disordered manner [v]"
jumbler	one that jumbles [n -s]
jumblers	"jumbler, one that jumbles [n]"
jumbles	"jumble, to mix in a disordered manner [v]"
jumblier	"jumbly, in a jumble [adj]"
jumbliest	"jumbly, in a jumble [adj]"
jumbling	"jumble, to mix in a disordered manner [v]"
jumblingly	jumbling [adv]
jumbly	"in a jumble [adj jumblier, jumbliest]"
jumbo	(colloquial) an elephant [n -s]
jumboise	"to enlarge a ship using prefabricated sections, also jumboize [v jumboised, jumboising, jumboises]"
jumboised	"jumboise, to enlarge a ship using prefabricated sections, also jumboize [v]"
jumboises	"jumboise, to enlarge a ship using prefabricated sections, also jumboize [v]"
jumboising	"jumboise, to enlarge a ship using prefabricated sections, also jumboize [v]"
jumboize	"to enlarge a ship using prefabricated sections, also jumboise [v jumboized, jumboizing, jumboizes]"
jumboized	"jumboize, to enlarge a ship using prefabricated sections, also jumboise [v]"
jumboizes	"jumboize, to enlarge a ship using prefabricated sections, also jumboise [v]"
jumboizing	"jumboize, to enlarge a ship using prefabricated sections, also jumboise [v]"
jumbos	"jumbo, (colloquial) an elephant [n]"
jumbuck	(australian slang) a sheep [n -s]
jumbucks	"jumbuck, (australian slang) a sheep [n]"
jumby	"(west indian) a ghost or evil spirit, also jumbie [n jumbies]"
jumelle	(french) a paired or twinned article; opera-glasses [n -s]
jumelles	"jumelle, (french) a paired or twinned article; opera-glasses [n]"
jumhouriya	"(arabic) in arab socialist states, the people or proletariat state, also jamahiriya [n -s]"
jumhouriyas	"jumhouriya, (arabic) in arab socialist states, the people or proletariat state, also jamahiriya [n]"
jump	"to leap into the air [v -ed, -ing, -s]"
jumpable	able to be jumped [adj]
jumped	"jump, to leap into the air [v]"
jumper	"a type of overall, slipped over the head [n -s]"
jumpers	"jumper, a type of overall, slipped over the head [n]"
jumpier	"jumpy, nervy [adj]"
jumpiest	"jumpy, nervy [adj]"
jumpily	"jumpy, nervy [adv]"
jumpiness	the state of being jumpy [n -es]
jumpinesses	"jumpiness, the state of being jumpy [n]"
jumping	the act of jumping [n -s]
jumpingly	jumping [adv]
jumpings	"jumping, the act of jumping [n]"
jumpoff	a starting point [n -s]
jumpoffs	"jumpoff, a starting point [n]"
jumprope	a rope used in children's games for jumping [n -s]
jumpropes	"jumprope, a rope used in children's games for jumping [n]"
jumps	"jump, to leap into the air [v]"
jumpshot	a type of shot in basketball [n -s]
jumpshots	"jumpshot, a type of shot in basketball [n]"
jumpsies	a game involving jumping over a taut rope [n]
jumpsuit	"a one-piece garment for either sex, combining trousers and jacket or blouse [n -s]"
jumpsuits	"jumpsuit, a one-piece garment for either sex, combining trousers and jacket or blouse [n]"
jumpy	"nervy [adj jumpier, jumpiest, jumpily]"
jun	a north korean coin [n jun]
juncaceous	of or pertaining to rushes [adj]
juncate	"(spenser) a junket, a dessert made from curds, also junket [n -s]"
juncates	"juncate, (spenser) a junket, a dessert made from curds, also junket [n]"
junco	a north american bird [n juncos or juncoes]
juncoes	"junco, a north american bird [n]"
juncos	"junco, a north american bird [n]"
junction	an intersection [n -s]
junctional	relating to junctions [adj]
junctions	"junction, an intersection [n]"
junctural	relating to junctures [adj]
juncture	the act of joining [n -s]
junctures	"juncture, the act of joining [n]"
juncus	"any plant of the genus juncus, rushes [n -es]"
juncuses	"juncus, any plant of the genus juncus, rushes [n]"
juneating	"an erroneous form of jenneting, an early type of apple, also jenneting [n -s]"
juneatings	"juneating, an erroneous form of jenneting, an early type of apple, also jenneting [n]"
jungle	"land covered with dense tropical vegetation [n jungles, jungled, jungly]"
jungled	abounding in jungle [adj]
junglegym	(tradename) a climbing frame for children [n -s]
junglegyms	"junglegym, (tradename) a climbing frame for children [n]"
junglelike	like a jungle [adj]
jungles	"jungle, land covered with dense tropical vegetation [n]"
jungli	an uneducated peasant [n -s]
junglier	"jungly, of or relating to jungles [adj]"
jungliest	"jungly, of or relating to jungles [adj]"
junglis	"jungli, an uneducated peasant [n]"
junglist	"an adherent of jungle, a style of rock music [n -s]"
junglists	"junglist, an adherent of jungle, a style of rock music [n]"
jungly	"of or relating to jungles [adj junglier, jungliest]"
junior	"(of a lawyer) to assist the lead lawyer on a case [v -ed, -ing, -s]"
juniorate	a course of high school or college study for candidates for the priesthood [n -s]
juniorates	"juniorate, a course of high school or college study for candidates for the priesthood [n]"
juniored	"junior, (of a lawyer) to assist the lead lawyer on a case [v]"
junioring	"junior, (of a lawyer) to assist the lead lawyer on a case [v]"
juniorities	"juniority, the state of being junior [n]"
juniority	the state of being junior [n juniorities]
juniors	junior [n]
juniper	an evergreen coniferous shrub whose berries are used in making gin [n -s]
junipers	"juniper, an evergreen coniferous shrub whose berries are used in making gin [n]"
junk	"to discard as trash [v -ed, -ing, -s]"
junkanoo	"a boisterous west indian dance, also joncanoe [n -s]"
junkanoos	"junkanoo, a boisterous west indian dance, also joncanoe [n]"
junked	"junk, to discard as trash [v]"
junker	(german) a young german noble or squire; esp. a member of the aristocratic party in prussia [n -s]
junkers	"junker, (german) a young german noble or squire; esp. a member of the aristocratic party in prussia [n]"
junket	"a pleasure trip, particularly one made by government officials [n -s] / to go on such a pleasure trip [v junketted or junketed, junketting or junketing, junkets]"
junketed	"junket, to go on such a pleasure trip [v]"
junketeer	"one who junkets, feasts, also junketer, junketter [n -s] / to engage in junketeering [v -ed, -ing, -s]"
junketeered	"junketeer, to engage in junketeering [v]"
junketeering	"junketeer, to engage in junketeering [v]"
junketeers	"junketeer, one who junkets, feasts, also junketer, junketter [n]"
junketer	"one that junkets, also junketter [n -s]"
junketers	"junketer, one that junkets, also junketter [n]"
junketing	going on a pleasure trip [n -s]
junketings	"junketing, going on a pleasure trip [n]"
junkets	"junket, to go on such a pleasure trip [v]"
junketted	"junket, to go on such a pleasure trip [v]"
junketter	"one who junkets, feasts, also junketeer, junketer [n -s]"
junketters	"junketter, one who junkets, feasts, also junketeer, junketer [n]"
junketting	"junket, to go on such a pleasure trip [v]"
junkie	"a narcotics addict, also junky [n -s]"
junkier	"junky, rubbishy, worthless [adj]"
junkies	"junkie, a narcotics addict, also junky [n]"
junkiest	"junky, rubbishy, worthless [adj]"
junkiness	the quality of being junk [n -es]
junkinesses	"junkiness, the quality of being junk [n]"
junking	"junk, to discard as trash [v]"
junkman	a man who buys and sells junk [n junkmen]
junkmen	"junkman, a man who buys and sells junk [n]"
junks	"junk, to discard as trash [v]"
junky	"rubbishy, worthless [adj junkier, junkiest] / a narcotics addict, also junkie [n junkies]"
junkyard	a yard where junk is stored [n -s]
junkyards	"junkyard, a yard where junk is stored [n]"
junta	a government council [n -s]
juntas	"junta, a government council [n]"
junto	"(spanish) a group, esp. one made of military officers, ruling a country after a coup, also junta [n -s]"
juntos	"junto, (spanish) a group, esp. one made of military officers, ruling a country after a coup, also junta [n]"
jupati	a large brazilian palm tree [n -s]
jupatis	"jupati, a large brazilian palm tree [n]"
jupe	a woman's jacket [n -s]
jupes	"jupe, a woman's jacket [n]"
jupon	"a sleeveless jacket worn beneath a hauberk, also gipon [n -s]"
jupons	"jupon, a sleeveless jacket worn beneath a hauberk, also gipon [n]"
jura	"jus, a law or legal right [n]"
jural	pertaining to law [adj jurally]
jurally	"jural, pertaining to law [adv]"
jurant	one who takes an oath [n -s]
jurants	"jurant, one who takes an oath [n]"
jurassic	relating to the second period of the mesozoic era [adj]
jurat	a memorandum at the end of an affidavit showing to whom it was sworn [n -s]
juratory	pertaining to an oath [adj]
jurats	"jurat, a memorandum at the end of an affidavit showing to whom it was sworn [n]"
jure	"(latin) by right or law, also iure [adv] / jurisprudence [n -s]"
jurel	a kind of food fish [n -s]
jurels	"jurel, a kind of food fish [n]"
jures	"jure, jurisprudence [n]"
juridic	"relating to the administration of justice; pertaining to a judge, also juridical [adj juridically]"
juridical	"relating to the administration of justice; pertaining to a judge, also juridic [adj juridically]"
juridically	"juridical, relating to the administration of justice; pertaining to a judge, also juridic [adv]"
juried	"jury, to select material for exhibition [v]"
juries	"jury, to select material for exhibition [v]"
jurisconsult	someone who is consulted on the law; a lawyer who gives opinions on cases put to him or her [n -s]
jurisconsults	"jurisconsult, someone who is consulted on the law; a lawyer who gives opinions on cases put to him or her [n]"
jurisdiction	"the power, right, or authority to interpret and apply the law [n -s]"
jurisdictional	"relating to jurisdiction, also jurisdictive [adj]"
jurisdictions	"jurisdiction, the power, right, or authority to interpret and apply the law [n]"
jurisdictive	"relating to jurisdiction, also jurisdictional [adj]"
jurisprudence	the science or philosophy of law [n -s]
jurisprudences	"jurisprudence, the science or philosophy of law [n]"
jurisprudent	a person who is knowledgeable in jurisprudence [n -s]
jurisprudential	relating to jurisprudence [adj]
jurisprudents	"jurisprudent, a person who is knowledgeable in jurisprudence [n]"
jurist	one versed in the law [n -s]
juristic	"of or pertaining to a jurist, to the legal profession, or to jurisprudence, also juristical [adj juristically]"
juristical	"of or pertaining to a jurist, to the legal profession, or to jurisprudence, also juristic [adj juristically]"
juristically	"juristical, of or pertaining to a jurist, to the legal profession, or to jurisprudence, also juristic [adv]"
jurists	"jurist, one versed in the law [n]"
juror	"a member of a jury, also juryman [n -s]"
jurors	"juror, a member of a jury, also juryman [n]"
jury	"a committee of adjudicators or examiners [n juries] / to select material for exhibition [v juried, jurying, juries]"
jurying	"jury, to select material for exhibition [v]"
juryless	with no jury [adj]
juryman	"a member of a jury, also juror [n jurymen]"
jurymast	a temporary mast [n -s]
jurymasts	"jurymast, a temporary mast [n]"
jurymen	"juryman, a member of a jury, also juror [n]"
jurywoman	a woman who serves on a jury [n jurywomen]
jurywomen	"jurywoman, a woman who serves on a jury [n]"
jus	a law or legal right [n jura]
jussive	a word used to express command [n -s]
jussives	"jussive, a word used to express command [n]"
just	"fair, impartial [adj juster, justest, justly] / to tilt with lances, also giust, joust [v -ed, -ing, -s]"
justed	"just, to tilt with lances, also giust, joust [v]"
juster	"one who tilts with lances, also jouster [n -s]"
justers	"juster, one who tilts with lances, also jouster [n]"
justest	"just, fair, impartial [adj]"
justice	a judge [n -s]
justicer	"(obsolete) a judge, magistrate, also justiciar, justiciary [n -s]"
justicers	"justicer, (obsolete) a judge, magistrate, also justiciar, justiciary [n]"
justices	"justice, a judge [n]"
justiceship	the office or dignity of a justice [n -s]
justiceships	"justiceship, the office or dignity of a justice [n]"
justiciability	the state of being justiciable [n]
justiciable	liable to trial [adj]
justicialism	"the political ideology of juan domingo perуn, president of argentina, which combined fascism and socialism [n -s]"
justicialisms	"justicialism, the political ideology of juan domingo perуn, president of argentina, which combined fascism and socialism [n]"
justiciar	"(historical) an administrator of justice; a supreme judge, also justicer, justiciary [n -s]"
justiciaries	"justiciary, an old name for the judges of the higher english courts, also justicer, justiciar [n]"
justiciars	"justiciar, (historical) an administrator of justice; a supreme judge, also justicer, justiciary [n]"
justiciarship	the office of justiciar [n -s]
justiciarships	"justiciarship, the office of justiciar [n]"
justiciary	"an old name for the judges of the higher english courts, also justicer, justiciar [n justiciaries]"
justifiability	the state of being justifiable [n]
justifiable	that can be justified [adj justifiably]
justifiableness	"justifiable, that can be justified [n]"
justifiably	"justifiable, that can be justified [adv]"
justification	"the act, process, or state of being justified by god [n -s]"
justifications	"justification, the act, process, or state of being justified by god [n]"
justificative	"serving to justify, also justificatory [adj]"
justificator	a person who defends or vindicates; a person who pardons and absolves from guilt and punishment [n -s]
justificators	"justificator, a person who defends or vindicates; a person who pardons and absolves from guilt and punishment [n]"
justificatory	"serving to justify, also justificative [adj]"
justified	"justify, to vindicate [v]"
justifier	one who justifies [n -s]
justifiers	"justifier, one who justifies [n]"
justifies	"justify, to vindicate [v]"
justify	"to vindicate [v justified, justifying, justifies]"
justifying	"justify, to vindicate [v]"
justing	"just, to tilt with lances, also giust, joust [v]"
justle	"to run or strike against, also jostle [v justled, justling, justles]"
justled	"justle, to run or strike against, also jostle [v]"
justles	"justle, to run or strike against, also jostle [v]"
justling	"justle, to run or strike against, also jostle [v]"
justly	"just, fair, impartial [adv]"
justness	the quality of being just [n -es]
justnesses	"justness, the quality of being just [n]"
justs	"just, to tilt with lances, also giust, joust [v]"
jut	"to project, stick out [v jutted, jutting, juts]"
jute	"a fibre obtained from the phloem of two plants of the linden family, used for making ropes [n -s]"
jutelike	like jute [adj]
jutes	"jute, a fibre obtained from the phloem of two plants of the linden family, used for making ropes [n]"
juts	"jut, to project, stick out [v]"
jutted	"jut, to project, stick out [v]"
juttied	"jutty, to stick out [v]"
juttier	"jutty, jutting out [adj]"
jutties	"jutty, to stick out [v]"
juttiest	"jutty, jutting out [adj]"
jutting	"jut, to project, stick out [v]"
juttingly	jutting [adv]
jutty	"jutting out [adj juttier, juttiest] / to stick out [v juttied, juttying, jutties]"
juttying	"jutty, to stick out [v]"
juve	(short for) a juvenile lead in the theatre [n -s]
juvenal	a young bird [n -s]
juvenals	"juvenal, a young bird [n]"
juvenescence	the state of growing young [n -s]
juvenescences	"juvenescence, the state of growing young [n]"
juvenescent	becoming youthful [adj]
juvenile	"young, not adult [adj juvenilely] / a young person [n -s]"
juvenilely	"juvenile, young, not adult [adv]"
juvenileness	the state of being juvenile [n -es]
juvenilenesses	"juvenileness, the state of being juvenile [n]"
juveniles	"juvenile, a young person [n]"
juvenilia	(latin) works of one's youth; early works of an artist or author [n]
juvenilities	"juvenility, youthfulness; adolescence [n]"
juvenility	youthfulness; adolescence [n juvenilities]
juves	"juve, (short for) a juvenile lead in the theatre [n]"
juvie	(slang) a juvenile detention centre [n -s]
juvies	"juvie, (slang) a juvenile detention centre [n]"
juxtapose	"to place side by side [v juxtaposed, juxtaposing, juxtaposes]"
juxtaposed	"juxtapose, to place side by side [v]"
juxtaposes	"juxtapose, to place side by side [v]"
juxtaposing	"juxtapose, to place side by side [v]"
juxtaposition	the act or an instance of placing two or more things side by side [n -s]
juxtapositional	in a state of juxtaposition [adj]
juxtapositions	"juxtaposition, the act or an instance of placing two or more things side by side [n]"
jymold	"(shakespeare) jointed, hinged, also gimmalled [adj]"
jynx	"the wryneck, a bird related to the woodpecker [n -es]"
jynxes	"jynx, the wryneck, a bird related to the woodpecker [n]"
