
ha	expressing surprise [interj]
hagbut	"(historical) a harquebus; a matchlock gun invented in the 15th century, also hackbut [n -s]"
hagbuteer	"one who uses a hagbut, also hackbuteer, hackbutter, hagbutter [n -s]"
hagbuteers	"hagbuteer, one who uses a hagbut, also hackbuteer, hackbutter, hagbutter [n]"
hagbuts	"hagbut, (historical) a harquebus; a matchlock gun invented in the 15th century, also hackbut [n]"
hagbutter	"one who uses a hagbut, also hackbuteer, hackbutter, hagbuteer [n -s]"
hagbutters	"hagbutter, one who uses a hagbut, also hackbuteer, hackbutter, hagbuteer [n]"
hagden	"a sea bird, the greater shearwater, also hackbolt, hagbolt, hagdon, hagdown [n -s]"
hagdens	"hagden, a sea bird, the greater shearwater, also hackbolt, hagbolt, hagdon, hagdown [n]"
hagdon	"a sea bird, the greater shearwater, also hackbolt, hagbolt, hagden, hagdown [n -s]"
hagdons	"hagdon, a sea bird, the greater shearwater, also hackbolt, hagbolt, hagden, hagdown [n]"
hagdown	"a sea bird, the greater shearwater, also hackbolt, hagbolt, hagden, hagdon [n -s]"
hagdowns	"hagdown, a sea bird, the greater shearwater, also hackbolt, hagbolt, hagden, hagdon [n]"
hagfish	a scavenging fish which resembles an eel [n -es]
hagfishes	"hagfish, a scavenging fish which resembles an eel [n]"
hagg	"(scots) broken ground in a moss or bog, a place from which peat has been dug [n -s]"
haggada	"(hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggadah [n haggadas, haggadot or haggadoth]"
haggadah	"(hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggada [n haggadahs, haggadot or haggadoth]"
haggadahs	"haggadah, (hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggada [n]"
haggadas	"haggada, (hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggadah [n]"
haggadic	"(hebrew) relating to the haggadah, the pesach guidebook, used during seder, also aggadic, hagadic, haggadical [adj]"
haggadical	"relating to the haggadah, the pesach guidebook, used during seder, also aggadic, hagadic, haggadic [adj]"
haggadist	"a scholar versed in the haggadah, also hagadist [n -s]"
haggadistic	relating to the haggadah [adj]
haggadists	"haggadist, a scholar versed in the haggadah, also hagadist [n]"
haggadot	"haggada, (hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggadah [n]"
haggadoth	"haggadah, (hebrew) the homiletic part of the jewish scripture, also aggada, aggadah, haggada [n]"
haggard	an adult hawk [n -s]
haggardly	haggard [adv]
haggardness	the state of being haggard [n -es]
haggardnesses	"haggardness, the state of being haggard [n]"
haggards	"haggard, an adult hawk [n]"
hagged	"hag, (scots) to hack [v]"
hagging	"hag, (scots) to hack [v]"
haggis	"a scottish dish consisting of the heart, lungs, and liver of a sheep etc. minced with suet, oatmeal, and onions [n -es]"
haggises	"haggis, a scottish dish consisting of the heart, lungs, and liver of a sheep etc. minced with suet, oatmeal, and onions [n]"
haggish	resembling a hag [adj haggishly]
haggishly	"haggish, resembling a hag [adv]"
haggishness	the state of being haggish [n -es]
haggishnesses	"haggishness, the state of being haggish [n]"
haggle	"to bargain [v haggled, haggling, haggles]"
haggled	"haggle, to bargain [v]"
haggler	one who haggles [n -s]
hagglers	"haggler, one who haggles [n]"
haggles	"haggle, to bargain [v]"
haggling	the act of arguing about price [n -s]
hagglings	"haggling, the act of arguing about price [n]"
haggs	"hagg, (scots) broken ground in a moss or bog, a place from which peat has been dug [n]"
hagiarchies	"hagiarchy, government by holy persons, also hagiocracy [n]"
hagiarchy	"government by holy persons, also hagiocracy [n hagiarchies]"
hagiocracies	"hagiocracy, government by holy persons, also hagiarchy [n]"
hagiocracy	"government by holy persons, also hagiarchy [n hagiocracies]"
hagiographer	a writer of hagiography [n -s]
hagiographers	"hagiographer, a writer of hagiography [n]"
hagiographic	"relating to hagiography, also hagiographical [adj]"
hagiographical	"relating to hagiography, also hagiographic [adj]"
hagiographies	"hagiography, a biography of saints; an idealizing or idolizing biography [n]"
hagiographist	one who writes the lives of saints [n -s]
hagiographists	"hagiographist, one who writes the lives of saints [n]"
hagiography	a biography of saints; an idealizing or idolizing biography [n hagiographies]
hagiolater	a worshipper of saints [n -s]
hagiolaters	"hagiolater, a worshipper of saints [n]"
hagiolatries	"hagiolatry, worship or reverence for saints [n]"
hagiolatrous	"relating to hagiolatry, worship or reverence for saints [adj]"
hagiolatry	worship or reverence for saints [n hagiolatries]
hagiologic	"relating to hagiology, the study of saints' lives, also hagiological [adj]"
hagiological	"relating to hagiology, the study of saints' lives, also hagiologic [adj]"
hagiologies	"hagiology, the literature dealing with the lives and legends of saints [n]"
hagiologist	one who writes saints' lives [n -s]
hagiologists	"hagiologist, one who writes saints' lives [n]"
hagiology	the literature dealing with the lives and legends of saints [n hagiologies]
hagioscope	an opening cut in the wall of a church to enable viewing of the altar [n -s]
hagioscopes	"hagioscope, an opening cut in the wall of a church to enable viewing of the altar [n]"
hagioscopic	relating to a hagioscope [adj]
haglet	"the kittiwake or shearwater, also hacklet [n -s]"
haglets	"haglet, the kittiwake or shearwater, also hacklet [n]"
haglike	like a hag [adj]
hagridden	"hagride, to drive as though possessed by a witch [v]"
hagride	"to drive as though possessed by a witch [v hagrode, hagridden, hagriding, hagrides]"
hagrider	one who hagrides [n -s]
hagriders	"hagrider, one who hagrides [n]"
hagrides	"hagride, to drive as though possessed by a witch [v]"
hagriding	"hagride, to drive as though possessed by a witch [v]"
hagrode	"hagride, to drive as though possessed by a witch [v]"
hags	"hag, (scots) to hack [v]"
hah	a sound of surprise [n -s]
haha	a fence set in a ditch [n -s]
hahas	"haha, a fence set in a ditch [n]"
hahnium	an artificially produced transuranic element [n -s]
hahniums	"hahnium, an artificially produced transuranic element [n]"
hahs	"hah, a sound of surprise [n]"
haick	"an arab head covering, also haik, haique, hyke [n -s]"
haicks	"haick, an arab head covering, also haik, haique, hyke [n]"
haiduk	"a brigand, a guerilla warrior, also heyduck [n -s]"
haiduks	"haiduk, a brigand, a guerilla warrior, also heyduck [n]"
haik	"an arab head covering, also haick, haique, hyke [n haiks or haika]"
haika	"haik, an arab head covering, also haick, haique, hyke [n]"
haikai	a series of linked haiku [n haikai]
haiks	"haik, an arab head covering, also haick, haique, hyke [n]"
haiku	"a japanese poem, also hokku [n -s]"
haikus	"haiku, a japanese poem, also hokku [n]"
hail	"to greet [v -ed, -ing, -s]"
hailed	"hail, to greet [v]"
hailer	one that hails [n -s]
hailers	"hailer, one that hails [n]"
hailier	"haily, with hail falling [adj]"
hailiest	"haily, with hail falling [adj]"
hailing	"hail, to greet [v]"
hails	"hail, to greet [v]"
hailshot	small shot which scatters like hailstones [n -s]
hailshots	"hailshot, small shot which scatters like hailstones [n]"
hailstone	a ball of hail [n -s]
hailstones	"hailstone, a ball of hail [n]"
hailstorm	a storm of hail [n -s]
hailstorms	"hailstorm, a storm of hail [n]"
haily	"with hail falling [adj hailier, hailiest]"
haimish	"homelike, also heimish [adj]"
hain	"(scots) to save, preserve [v -ed, -ing, -s]"
hainch	"to throw with an underhand motion, also haunch [v -ed, -ing, -es]"
hainched	"hainch, to throw with an underhand motion, also haunch [v]"
hainches	"hainch, to throw with an underhand motion, also haunch [v]"
hainching	"hainch, to throw with an underhand motion, also haunch [v]"
hained	"hain, (scots) to save, preserve [v]"
haining	an enclosure [n -s]
hainings	"haining, an enclosure [n]"
hains	"hain, (scots) to save, preserve [v]"
haint	(southern us dialect) a ghost [n -s]
haints	"haint, (southern us dialect) a ghost [n]"
haique	"an arab head covering, also haik, haick, hyke [n -s]"
haiques	"haique, an arab head covering, also haik, haick, hyke [n]"
hair	"to free from hair [v -ed, -ing, -s]"
hairball	"a concretion of hair in the stomach, e.g. in cats as a result of swallowing fur, etc. during grooming [n -s]"
hairballs	"hairball, a concretion of hair in the stomach, e.g. in cats as a result of swallowing fur, etc. during grooming [n]"
hairband	a band for the hair [n -s]
hairbands	"hairband, a band for the hair [n]"
hairbell	"the scottish bluebell, also harebell [n -s]"
hairbells	"hairbell, the scottish bluebell, also harebell [n]"
hairbrained	"crazy, crackpot, also harebrained [adj]"
hairbreadth	"the breadth of a hair; a minute distance, also hairsbreadth [n -s]"
hairbreadths	"hairbreadth, the breadth of a hair; a minute distance, also hairsbreadth [n]"
hairbrush	a brush for the hair [n -es]
hairbrushes	"hairbrush, a brush for the hair [n]"
haircap	a hat [n -s]
haircaps	"haircap, a hat [n]"
haircloth	stuff or cloth made wholly or in part of hair [n -s]
haircloths	"haircloth, stuff or cloth made wholly or in part of hair [n]"
haircut	a cutting of the hair [n -s]
haircuts	"haircut, a cutting of the hair [n]"
haircutter	one who cuts hair [n -s]
haircutters	"haircutter, one who cuts hair [n]"
haircutting	the act of cutting hair [n -s]
haircuttings	"haircutting, the act of cutting hair [n]"
hairdo	a style of wearing the hair [n -s]
hairdos	"hairdo, a style of wearing the hair [n]"
hairdresser	a person whose occupation is the dressing or cutting of hair [n -s]
hairdressers	"hairdresser, a person whose occupation is the dressing or cutting of hair [n]"
hairdressing	"the act of washing, cutting, curling, or arranging the hair [n -s]"
hairdressings	"hairdressing, the act of washing, cutting, curling, or arranging the hair [n]"
hairdrier	"a device for drying hair, also hairdryer [n -s]"
hairdriers	"hairdrier, a device for drying hair, also hairdryer [n]"
hairdryer	"a device for drying hair, also hairdrier [n -s]"
hairdryers	"hairdryer, a device for drying hair, also hairdrier [n]"
haired	"hair, to free from hair [v]"
hairgrip	a device to keep hair in place [n -s]
hairgrips	"hairgrip, a device to keep hair in place [n]"
hairier	"hairy, covered with hair [adj]"
hairiest	"hairy, covered with hair [adj]"
hairif	the plant cleavers [n -s]
hairifs	"hairif, the plant cleavers [n]"
hairily	hairy [adv]
hairiness	the state of being hairy [n -es]
hairinesses	"hairiness, the state of being hairy [n]"
hairing	"hair, to free from hair [v]"
hairless	a hairless dog [n -es]
hairlesses	"hairless, a hairless dog [n]"
hairlessness	the state of being hairless [n -es]
hairlessnesses	"hairlessness, the state of being hairless [n]"
hairlike	resembling a hair [adj]
hairline	the edge of the hair on the forehead [n -s]
hairlines	"hairline, the edge of the hair on the forehead [n]"
hairlock	a lock of hair [n -s]
hairlocks	"hairlock, a lock of hair [n]"
hairnet	a net worn to keep the hair in place [n -s]
hairnets	"hairnet, a net worn to keep the hair in place [n]"
hairpiece	an artificial extension to the hair [n -s]
hairpieces	"hairpiece, an artificial extension to the hair [n]"
hairpin	a hair fastener [n -s]
hairpins	"hairpin, a hair fastener [n]"
hairs	"hair, to free from hair [v]"
hairsbreadth	"the breadth of a hair; a minute distance, also hairbreadth [n -s]"
hairsbreadths	"hairsbreadth, the breadth of a hair; a minute distance, also hairbreadth [n]"
hairsplitter	one that makes excessively fine distinctions in reasoning [n -s]
hairsplitters	"hairsplitter, one that makes excessively fine distinctions in reasoning [n]"
hairsplitting	the making of trifling distinctions [n -s]
hairsplittings	"hairsplitting, the making of trifling distinctions [n]"
hairspray	lacquer sprayed on the hair to hold it in place [n -s]
hairsprays	"hairspray, lacquer sprayed on the hair to hold it in place [n]"
hairspring	the slender recoil spring which regulates the motion of the balance in a timepiece [n -s]
hairsprings	"hairspring, the slender recoil spring which regulates the motion of the balance in a timepiece [n]"
hairst	"to gather in a crop, also harvest [v -ed, -ing, -s]"
hairsted	"hairst, to gather in a crop, also harvest [v]"
hairsting	"hairst, to gather in a crop, also harvest [v]"
hairstreak	a butterfly of the genus thecla [n -s]
hairstreaks	"hairstreak, a butterfly of the genus thecla [n]"
hairsts	"hairst, to gather in a crop, also harvest [v]"
hairstyle	a particular way of cutting and arranging the hair [n -s]
hairstyles	"hairstyle, a particular way of cutting and arranging the hair [n]"
hairstyling	a styling of the hair [n -s]
hairstylings	"hairstyling, a styling of the hair [n]"
hairstylist	a hairdresser [n -s]
hairstylists	"hairstylist, a hairdresser [n]"
hairtail	any of various marine fish with long whiplike scaleless bodies [n -s]
hairtails	"hairtail, any of various marine fish with long whiplike scaleless bodies [n]"
hairweaving	the interweaving of false hair with real on a bald person's head [n -s]
hairweavings	"hairweaving, the interweaving of false hair with real on a bald person's head [n]"
