
ma	(colloquial) mother [n -s]
madreporite	"in echinoderms, a perforated plate serving as opening to the stone canal [n -s]"
madreporites	"madreporite, in echinoderms, a perforated plate serving as opening to the stone canal [n]"
madreporitic	"of or like madreporite, in echinoderms, a perforated plate serving as opening to the stone canal [adj]"
madres	"madre, (spanish) mother [n]"
madrigal	an unaccompanied song in several parts in counterpoint [n -s]
madrigalesque	somewhat in the style of a madrigal [adj]
madrigalian	of or like a madrigal [adj]
madrigalist	one who sings madrigals [n -s]
madrigalists	"madrigalist, one who sings madrigals [n]"
madrigals	"madrigal, an unaccompanied song in several parts in counterpoint [n]"
madrilene	(french) a tomato-flavored consomme [n -s]
madrilenes	"madrilene, (french) a tomato-flavored consomme [n]"
madrona	"(spanish) a californian tree of the arbutus genus, also madrone, madrono [n -s]"
madronas	"madrona, (spanish) a californian tree of the arbutus genus, also madrone, madrono [n]"
madrone	"(spanish) a californian tree of the arbutus genus, also madrona, madrono [n -s]"
madrones	"madrone, (spanish) a californian tree of the arbutus genus, also madrona, madrono [n]"
madrono	"(spanish) a californian tree of the arbutus genus, also madrona, madrone [n -s]"
madronos	"madrono, (spanish) a californian tree of the arbutus genus, also madrona, madrone [n]"
mads	"mad, to become or make angry or mad [v]"
madtom	a north american catfish [n -s]
madtoms	"madtom, a north american catfish [n]"
maduro	a dark-coloured strong cigar [n -s]
maduros	"maduro, a dark-coloured strong cigar [n]"
madwoman	a woman who is insane [n madwomen]
madwomen	"madwoman, a woman who is insane [n]"
madwort	any of various plants believed to cure canine madness [n -s]
madworts	"madwort, any of various plants believed to cure canine madness [n]"
madzoon	"a food similar to yoghurt made from fermented milk, also matzoon [n -s]"
madzoons	"madzoon, a food similar to yoghurt made from fermented milk, also matzoon [n]"
mae	(scots) more [n -s]
maelid	an apple nymph [n -s]
maelids	"maelid, an apple nymph [n]"
maelstrom	(dutch) a powerful whirlpool [n -s]
maelstroms	"maelstrom, (dutch) a powerful whirlpool [n]"
maenad	"a female follower of bacchus, also menad [n maenads or maenades]"
maenades	"maenad, a female follower of bacchus, also menad [n]"
maenadic	"like a maenad, furious, bacchanalian [adj maenadically]"
maenadically	"maenadic, like a maenad, furious, bacchanalian [adv]"
maenadism	the state of being a maenad [n -s]
maenadisms	"maenadism, the state of being a maenad [n]"
maenads	"maenad, a female follower of bacchus, also menad [n]"
maerl	calcified red seaweed; a mass of this [n -s]
maerls	"maerl, calcified red seaweed; a mass of this [n]"
maes	"mae, (scots) more [n]"
maestoso	a stately musical passage [n -s]
maestosos	"maestoso, a stately musical passage [n]"
maestri	"maestro, a master of an art [n]"
maestro	a master of an art [n maestros or maestri]
maestros	"maestro, a master of an art [n]"
maffia	"a secret criminal organization, also mafia [n -s]"
maffias	"maffia, a secret criminal organization, also mafia [n]"
maffick	"to celebrate exuberantly [v -ed, -ing, -s]"
mafficked	"maffick, to celebrate exuberantly [v]"
mafficker	"one who mafficks, celebrates with boisterous rejoicing [n -s]"
maffickers	"mafficker, one who mafficks, celebrates with boisterous rejoicing [n]"
mafficking	boisterous rejoicing [n -s]
maffickings	"mafficking, boisterous rejoicing [n]"
mafficks	"maffick, to celebrate exuberantly [v]"
maffled	(colloquial) mentally confused [adj]
mafflin	"a simpleton, also maffling [n -s]"
maffling	"a simpleton, also mafflin [n -s]"
mafflings	"maffling, a simpleton, also mafflin [n]"
mafflins	"mafflin, a simpleton, also maffling [n]"
mafia	"a secret criminal organization, also maffia [n -s]"
mafias	"mafia, a secret criminal organization, also maffia [n]"
mafic	a generally dark-colored igneous rock with significant amounts of one or more ferromagnesian minerals [n -s]
mafics	"mafic, a generally dark-colored igneous rock with significant amounts of one or more ferromagnesian minerals [n]"
mafiosi	"mafioso, a member of the mafia [n]"
mafioso	a member of the mafia [n mafiosos or mafiosi]
mafiosos	"mafioso, a member of the mafia [n]"
mafted	(dialect) suffering under intense heat [adj]
maftir	"(hebrew) the concluding section of a parashah, a passage in jewish literature [n -s]"
maftirs	"maftir, (hebrew) the concluding section of a parashah, a passage in jewish literature [n]"
mag	"to tease; to steal, also magg [v magged, magging, mags]"
magainin	one of several chemicals derived from frog skin [n -s]
magainins	"magainin, one of several chemicals derived from frog skin [n]"
magalog	"(colloquial) a large mail-order catalog in the form of a magazine, also magalogue [n -s]"
magalogs	"magalog, (colloquial) a large mail-order catalog in the form of a magazine, also magalogue [n]"
magalogue	"a large mail-order catalog in the form of a magazine, also magalog [n -s]"
magalogues	"magalogue, a large mail-order catalog in the form of a magazine, also magalog [n]"
magazine	a type of periodical publication [n -s]
magazines	"magazine, a type of periodical publication [n]"
magazinist	one who edits or writes for a magazine [n -s]
magazinists	"magazinist, one who edits or writes for a magazine [n]"
magdalen	"a reformed prostitute, also magdalene [n -s]"
magdalene	"a reformed prostitute, also magdalen [n -s]"
magdalenes	"magdalene, a reformed prostitute, also magdalen [n]"
magdalens	"magdalen, a reformed prostitute, also magdalene [n]"
mage	"a magician; a person of exceptional wisdom and learning, also magus [n -s]"
magenta	a purplish red dye [n -s]
magentas	"magenta, a purplish red dye [n]"
mages	"mage, a magician; a person of exceptional wisdom and learning, also magus [n]"
mageship	the office of a sorcerer [n -s]
mageships	"mageship, the office of a sorcerer [n]"
magg	"(scott) to steal, also mag [v -ed, -ing, -s]"
magged	"magg, (scott) to steal, also mag [v]"
maggie	(dialect) a magpie [n -s]
maggies	"maggie, (dialect) a magpie [n]"
magging	"magg, (scott) to steal, also mag [v]"
maggot	"any soft-bodied limbless larva, esp. of a housefly, blowfly, or other dipteran fly, typically found in decaying organic matter [n -s]"
maggotier	"maggoty, full of maggots [adj]"
maggotiest	"maggoty, full of maggots [adj]"
maggotoria	"maggotorium, a place where maggots are bred for sale to fishers [n]"
maggotorium	a place where maggots are bred for sale to fishers [n maggotoria]
maggots	"maggot, any soft-bodied limbless larva, esp. of a housefly, blowfly, or other dipteran fly, typically found in decaying organic matter [n]"
maggoty	"full of maggots [adj maggotier, maggotiest]"
maggs	"magg, (scott) to steal, also mag [v]"
magi	"magus, a magician, also mage, magian [n]"
magian	"a magician, also magus [n -s]"
magianism	the teachings or philosophy of the magi [n -s]
magianisms	"magianism, the teachings or philosophy of the magi [n]"
magians	"magian, a magician, also magus [n]"
magic	"to work spells [v magicked, magicking, magics]"
magical	resembling magic [adj magically]
magically	"magical, resembling magic [adv]"
magician	one who is skilled in magic [n -s]
magicians	"magician, one who is skilled in magic [n]"
magicked	"magic, to work spells [v]"
magicking	"magic, to work spells [v]"
magics	"magic, to work spells [v]"
magilp	"a substance with which pigments are mixed in painting, also megilp, megilph [n -s]"
magilps	"magilp, a substance with which pigments are mixed in painting, also megilp, megilph [n]"
magism	the teaching of the magi [n -s]
magisms	"magism, the teaching of the magi [n]"
magister	a person licensed to teach in a medieval university [n -s]
magisterial	in the manner of a teacher or magistrate [adj magisterially]
magisterially	"magisterial, in the manner of a teacher or magistrate [adv]"
magisterialness	the state of being magisterial [n]
magisteries	"magistery, the quality, position, or function of a master [n]"
magisterium	(latin) the teaching function of the catholic church [n -s]
magisteriums	"magisterium, (latin) the teaching function of the catholic church [n]"
magisters	"magister, a person licensed to teach in a medieval university [n]"
magistery	"the quality, position, or function of a master [n magisteries]"
magistracies	"magistracy, the office or dignity of a magistrate [n]"
magistracy	the office or dignity of a magistrate [n magistracies]
magistral	masterly [adj magistrally] / (obsolete) a preparation devised by a physician for a particular case; not included in the standard pharmacopoeia [n -s]
magistralities	"magistrality, the state of being magistral [n]"
magistrality	the state of being magistral [n magistralities]
magistrally	"magistral, masterly [adv]"
magistrals	"magistral, (obsolete) a preparation devised by a physician for a particular case; not included in the standard pharmacopoeia [n]"
magistrand	a university student in fourth year [n -s]
magistrands	"magistrand, a university student in fourth year [n]"
magistrate	an official entrusted with administration of the laws [n -s]
magistrates	"magistrate, an official entrusted with administration of the laws [n]"
magistrateship	the office of magistrate [n -s]
magistrateships	"magistrateship, the office of magistrate [n]"
magistratic	"relating to a magistrate, also magistratical [adj magistratically]"
magistratical	"relating to a magistrate, also magistratic [adj magistratically]"
magistratically	"magistratical, relating to a magistrate, also magistratic [adv]"
magistrature	the office or rank of a magistrate [n -s]
magistratures	"magistrature, the office or rank of a magistrate [n]"
maglev	(short for) a magnetically levitating train [n -s]
maglevs	"maglev, (short for) a magnetically levitating train [n]"
magma	the molten matter from which igneous rock is formed [n magmas or magmata]
magmas	"magma, the molten matter from which igneous rock is formed [n]"
magmata	"magma, the molten matter from which igneous rock is formed [n]"
magmatic	"of or like magma, molten or partially molten rock material [adj]"
magmatism	the production of magma [n -s]
magmatisms	"magmatism, the production of magma [n]"
magnalium	an alloy of magnesium and aluminum [n -s]
magnaliums	"magnalium, an alloy of magnesium and aluminum [n]"
magnanimities	"magnanimity, the quality of being magnanimous [n]"
magnanimity	the quality of being magnanimous [n magnanimities]
magnanimous	showing or suggesting a lofty and courageous spirit [adj magnanimously]
magnanimously	"magnanimous, showing or suggesting a lofty and courageous spirit [adv]"
magnanimousness	"magnanimous, showing or suggesting a lofty and courageous spirit [n]"
magnate	"a great or noble person; now esp. a wealthy and influential person, esp. in business [n -s]"
magnates	"magnate, a great or noble person; now esp. a wealthy and influential person, esp. in business [n]"
magnateship	the office of magnate [n -s]
magnateships	"magnateship, the office of magnate [n]"
magnes	"(archaic) a lodestone, also magnesstone [n -es]"
magneses	"magnes, (archaic) a lodestone, also magnesstone [n]"
magnesia	an ore of magnesium [n -s]
magnesial	"relating to magnesia or magnesium, also magnesian, magnesic [adj]"
